iter	RMSE
0	3856.767843
1	3602.22951
2	3511.790093
3	3462.612595
4	3432.113272
5	3407.57953
6	3388.124361
7	3371.886107
8	3358.724723
9	3350.986719
10	3336.736762
11	3320.752704
12	3309.95813
13	3304.805346
14	3291.663898
15	3286.274796
16	3278.543545
17	3272.947431
18	3266.200823
19	3259.733799
20	3252.999953
21	3246.934515
22	3243.873983
23	3239.711214
24	3234.969667
25	3228.594648
26	3223.809588
27	3215.526034
28	3212.393127
29	3207.127645
30	3200.262053
31	3197.737475
32	3192.733067
33	3188.285827
34	3185.714472
35	3182.455717
36	3179.975924
37	3175.365284
38	3173.486102
39	3167.945224
40	3165.132021
41	3160.973114
42	3157.055126
43	3153.785944
44	3152.4561
45	3149.521394
46	3147.211333
47	3143.474442
48	3142.606567
49	3140.074346
50	3139.919291
51	3135.988459
52	3135.464624
53	3133.893955
54	3133.874443
55	3131.898257
56	3131.32718
57	3126.691747
58	3123.170259
59	3120.097431
60	3118.727203
61	3115.281177
62	3112.867465
63	3110.555896
64	3110.167937
65	3109.364933
66	3105.932765
67	3104.783527
68	3101.789238
69	3099.351298
70	3099.3511
71	3097.225474
72	3096.912168
73	3095.388032
74	3092.692739
75	3091.442062
76	3089.890704
77	3088.105042
78	3086.63509
79	3084.377068
80	3082.504857
81	3080.037383
82	3079.731309
83	3077.570573
84	3076.270028
85	3074.669671
86	3074.223463
87	3073.380891
88	3069.864641
89	3069.015232
90	3065.653554
91	3064.432512
92	3062.263593
93	3061.387979
94	3060.724383
95	3059.14246
96	3059.131223
97	3057.549255
98	3056.794302
99	3055.755516
100	3055.211794
101	3054.227641
102	3052.537309
103	3050.771497
104	3049.108141
105	3048.140767
106	3047.698312
107	3047.010473
108	3045.778066
109	3043.170791
110	3042.876515
111	3042.438095
112	3042.269129
113	3041.772215
114	3040.017697
115	3039.418933
116	3037.659225
117	3036.233337
118	3035.748462
119	3035.171863
120	3034.704522
121	3033.556857
122	3032.691274
123	3031.656573
124	3030.622905
125	3029.911166
126	3029.577393
127	3028.913378
128	3028.263425
129	3027.671081
130	3027.330496
131	3026.698323
132	3025.851456
133	3024.642961
134	3023.284213
135	3022.501518
136	3021.236603
137	3019.870232
138	3018.755363
139	3018.152571
140	3017.840215
141	3017.131706
142	3015.555853
143	3013.924139
144	3012.691716
145	3011.884444
146	3011.482246
147	3011.258323
148	3010.15717
149	3009.90936
150	3008.784057
151	3007.698609
152	3006.945696
153	3006.374426
154	3005.714093
155	3005.708434
156	3004.907405
157	3004.693542
158	3004.558939
159	3001.394775
160	3001.062401
161	3000.876159
162	3000.435789
163	2999.627887
164	2999.382812
165	2998.671544
166	2996.884455
167	2996.520763
168	2996.183534
169	2995.90323
170	2995.410094
171	2995.340269
172	2992.870662
173	2992.08591
174	2991.530624
175	2991.229828
176	2990.719458
177	2989.958637
178	2989.68275
179	2989.288154
180	2988.774314
181	2988.255351
182	2987.61449
183	2986.649344
184	2985.753088
185	2985.294942
186	2983.52694
187	2982.764433
188	2982.553271
189	2981.867008
190	2981.532226
191	2981.252565
192	2980.298475
193	2979.632839
194	2978.357879
195	2978.147558
196	2977.808066
197	2977.409695
198	2977.364143
199	2976.800849
200	2975.842591
201	2975.468949
202	2974.338921
203	2973.42798
204	2973.039228
205	2972.339929
206	2972.076227
207	2971.567537
208	2970.883476
209	2970.628079
210	2970.03213
211	2969.611293
212	2968.294676
213	2967.663093
214	2967.418887
215	2967.179553
216	2966.844401
217	2966.640196
218	2966.271502
219	2966.086129
220	2965.338412
221	2965.012398
222	2964.18254
223	2963.260736
224	2962.78847
225	2961.788909
226	2961.620197
227	2961.284219
228	2960.793061
229	2960.478342
230	2959.213861
231	2957.973956
232	2957.177749
233	2956.342381
234	2955.756533
235	2955.675737
236	2955.551506
237	2955.30769
238	2954.745938
239	2954.436474
240	2953.583229
241	2952.755777
242	2952.513251
243	2951.734049
244	2951.602357
245	2951.168073
246	2949.995982
247	2949.283887
248	2948.637996
249	2948.356393
250	2948.257479
251	2946.136471
252	2946.027229
253	2945.914086
254	2945.486861
255	2944.658893
256	2944.253525
257	2943.933304
258	2942.957391
259	2942.548476
260	2941.594585
261	2940.738263
262	2940.629882
263	2940.288723
264	2940.052196
265	2938.663786
266	2938.190438
267	2937.781724
268	2937.520567
269	2937.068444
270	2936.413187
271	2936.174779
272	2935.044517
273	2934.649623
274	2933.716695
275	2933.29111
276	2932.576551
277	2931.866019
278	2931.644629
279	2930.868867
280	2930.572659
281	2930.195402
282	2929.704517
283	2928.991805
284	2928.782097
285	2928.295275
286	2927.630553
287	2926.539608
288	2926.2881
289	2925.861222
290	2924.952829
291	2924.731761
292	2924.512889
293	2924.098336
294	2923.507511
295	2923.295981
296	2923.093009
297	2922.7526
298	2922.415418
299	2922.00688
