iter	Passed	Remaining
0	81	16275
1	153	15147
2	209	13730
3	255	12533
4	318	12417
5	367	11880
6	418	11530
7	466	11193
8	507	10763
9	564	10729
10	608	10460
11	648	10157
12	711	10231
13	764	10160
14	823	10160
15	878	10105
16	931	10024
17	980	9914
18	1030	9819
19	1083	9755
20	1125	9595
21	1162	9404
22	1226	9436
23	1286	9431
24	1334	9339
25	1364	9131
26	1422	9111
27	1462	8983
28	1505	8875
29	1551	8789
30	1595	8700
31	1653	8681
32	1703	8619
33	1752	8555
34	1799	8482
35	1852	8439
36	1895	8348
37	1935	8250
38	1983	8187
39	2021	8084
40	2059	7986
41	2087	7854
42	2125	7761
43	2166	7682
44	2206	7600
45	2250	7534
46	2296	7475
47	2358	7468
48	2407	7420
49	2451	7354
50	2505	7319
51	2544	7243
52	2606	7230
53	2650	7166
54	2703	7127
55	2748	7068
56	2788	6996
57	2828	6925
58	2876	6873
59	2923	6821
60	2969	6766
61	3024	6732
62	3080	6698
63	3134	6661
64	3184	6612
65	3231	6560
66	3278	6507
67	3323	6451
68	3371	6401
69	3418	6349
70	3465	6296
71	3518	6255
72	3562	6198
73	3617	6158
74	3651	6085
75	3708	6050
76	3760	6007
77	3805	5951
78	3851	5899
79	3888	5832
80	3925	5767
81	3971	5714
82	4017	5662
83	4069	5619
84	4104	5552
85	4151	5502
86	4179	5429
87	4220	5371
88	4261	5314
89	4312	5271
90	4361	5224
91	4408	5175
92	4462	5133
93	4516	5093
94	4561	5041
95	4609	4993
96	4654	4942
97	4700	4892
98	4749	4845
99	4788	4788
100	4833	4737
101	4881	4689
102	4936	4649
103	4983	4599
104	5038	4558
105	5094	4517
106	5143	4470
107	5190	4421
108	5241	4376
109	5280	4320
110	5317	4263
111	5371	4220
112	5410	4165
113	5451	4112
114	5510	4073
115	5548	4017
116	5610	3980
117	5654	3929
118	5709	3885
119	5766	3844
120	5805	3790
121	5854	3743
122	5904	3696
123	5943	3642
124	5980	3588
125	6037	3545
126	6083	3496
127	6122	3444
128	6164	3392
129	6213	3345
130	6260	3297
131	6305	3248
132	6338	3193
133	6382	3143
134	6436	3099
135	6483	3051
136	6524	3000
137	6568	2951
138	6620	2905
139	6677	2861
140	6724	2813
141	6770	2765
142	6815	2716
143	6867	2670
144	6906	2619
145	6950	2570
146	7000	2523
147	7049	2476
148	7093	2427
149	7130	2376
150	7188	2332
151	7239	2286
152	7295	2240
153	7348	2194
154	7403	2149
155	7458	2103
156	7506	2055
157	7548	2006
158	7597	1959
159	7657	1914
160	7714	1868
161	7769	1822
162	7815	1774
163	7867	1727
164	7923	1680
165	7971	1632
166	8010	1582
167	8062	1535
168	8112	1488
169	8167	1441
170	8226	1395
171	8266	1345
172	8310	1296
173	8351	1247
174	8402	1200
175	8451	1152
176	8504	1105
177	8543	1055
178	8587	1007
179	8646	960
180	8711	914
181	8768	867
182	8817	819
183	8880	772
184	8930	724
185	8983	676
186	9028	627
187	9080	579
188	9128	531
189	9180	483
190	9230	434
191	9282	386
192	9337	338
193	9397	290
194	9455	242
195	9516	194
196	9577	145
197	9625	97
198	9683	48
199	9745	0
